緯度,経度,color,color2
36.76784209,137.3795278,4,3
36.75024983,137.3479742,2,3
36.75484971,137.3329583,2,3
36.75615545,137.3485007,2,3
36.63980775,137.3201966,2,3
36.68604627,137.2944293,4,3
36.70307327,137.3161426,2,3
36.66409155,137.3107765,2,3
36.70583666,137.3639845,2,3
36.67322319,137.3335371,1,3
36.70697051,137.301919,2,3
36.7069853,137.3018577,2,3
36.68588887,137.3267584,2,3
36.67382988,137.3011648,2,3
36.70513847,137.3072092,2,3
36.71843065,137.3269997,2,3
36.71939946,137.3689011,2,3
36.68617376,137.2928387,4,3
36.70045008,137.3050963,2,3
36.68673609,137.3032012,2,3
36.65432697,137.2871804,2,3
36.71397126,137.3373604,2,3
36.69942415,137.3623472,2,3
36.6113728,137.3207289,2,3
36.64403448,137.2899671,2,3
36.68687133,137.291942,2,3
36.70887065,137.367209,0,3
36.70219779,137.3067338,2,3
36.68700725,137.3364783,0,3
36.67095911,137.288635,2,3
36.68735335,137.3125804,1,3
36.67397298,137.3011355,2,3
36.68646516,137.3101223,2,3
36.67905372,137.3150937,2,3
36.64947881,137.2949744,2,3
36.70529367,137.3584751,2,3
36.69975885,137.3621844,1,3
36.67239305,137.2856555,2,3
36.72411961,137.3570728,4,3
36.66637247,137.2988838,0,3
36.6865188,137.3000764,4,3
36.64882726,137.3477779,2,3
36.7068562,137.3072969,2,3
36.69888982,137.3585313,1,3
36.69690607,137.3004215,2,3
36.58270659,137.3352608,1,3
36.70655658,137.2984404,2,3
36.69975646,137.3612627,2,3
36.70030314,137.3423653,4,3
36.69971068,137.3564826,2,3
36.66402679,137.3125484,2,3
36.65282713,137.3291656,2,3
36.69746117,137.294045,2,3
36.66422781,137.3198098,2,3
36.65209145,137.3136778,2,3
36.6866998,137.3027503,4,3
36.68370781,137.332213,4,3
36.65938138,137.3395319,2,3
36.68623242,137.292497,4,3
36.62979607,137.3221644,2,3
36.65562815,137.3170408,1,3
36.70680038,137.3074548,2,3
36.64741128,137.2864612,2,3
36.66978207,137.3168636,3,3
36.628017,137.3000357,2,3
36.70242856,137.3614649,2,3
36.58215346,137.394725,2,3
36.70738333,137.3730828,2,3
36.68688804,137.2840965,2,3
36.64928604,137.296654,2,3
36.6641192,137.3197221,2,3
36.57492283,137.3477334,2,3
36.65405847,137.3499235,2,3
36.67860129,137.29397,1,3
36.69217317,137.3153048,2,3
36.70657319,137.3574751,2,3
36.68587746,137.3213278,2,3
36.66606332,137.2935705,2,3
36.68178737,137.2919305,2,3
36.68602472,137.2952582,4,3
36.66597505,137.3170734,2,3
36.69925976,137.366534,2,3
36.68671869,137.3032297,2,3
36.62718938,137.3406452,2,3
36.68608902,137.2935945,4,3
36.70616326,137.3651803,2,3
36.69119565,137.2924184,2,3
36.69441239,137.3694345,1,3
36.68640286,137.2919128,4,3
36.68606363,137.2943856,4,3
36.69854042,137.2937883,2,3
36.70700732,137.3078003,0,3
36.71954234,137.3810294,2,3
36.66575876,137.2872714,2,3
36.66927789,137.3123403,4,3
36.62446029,137.3098402,2,3
36.678649,137.2939504,2,3
36.70160681,137.3708018,2,3
36.70015759,137.3439405,2,3
36.69677329,137.3551791,2,3
36.70636046,137.3589219,2,3
36.62547583,137.3231841,2,3
36.68668343,137.2907171,4,3
36.73384207,137.3351631,4,3
36.74064692,137.3217019,2,3
36.74630279,137.2096149,4,3
36.74139132,137.3231672,2,3
36.74176362,137.2488722,0,3
36.74606095,137.2338269,4,3
36.75230984,137.2796901,2,3
36.75536817,137.2957068,2,3
36.73477877,137.2042287,4,3
36.72501575,137.2037559,4,3
36.72405114,137.2377013,4,3
36.72733513,137.2879285,2,3
36.72464184,137.2354228,2,3
36.73083135,137.2815061,2,3
36.73364279,137.2022681,4,3
36.73826548,137.2112394,2,3
36.71799762,137.281492,4,3
36.73077647,137.2540342,4,3
36.74779062,137.3055413,2,3
36.72355851,137.2412875,4,3
36.73956006,137.2438066,4,3
36.73442757,137.210371,4,3
36.7338809,137.1916226,2,3
36.71834547,137.2749369,4,3
36.72443005,137.2358416,4,3
36.73551632,137.2118276,1,3
36.72063625,137.2633587,3,3
36.72982806,137.2253753,3,3
36.74592727,137.2453475,4,3
36.71846976,137.2966981,4,3
36.74534727,137.2986005,2,3
36.7177497,137.2906272,4,3
36.75076756,137.2009094,0,3
36.74919828,137.2015621,4,3
36.72326703,137.2432226,4,3
36.7380795,137.2088852,2,3
36.72270326,137.2646207,3,3
36.74523303,137.2405318,3,3
36.73862367,137.1983816,2,3
36.71774288,137.2866992,4,3
36.72632098,137.2420176,1,3
36.72063741,137.2918309,2,3
36.73040309,137.1836745,0,3
36.74883234,137.2024307,4,3
36.72367146,137.2404774,4,3
36.71210677,137.3098849,2,3
36.73291245,137.2260447,0,3
36.72711393,137.2675655,3,3
36.72868297,137.2355156,2,3
36.76222288,137.238529,2,3
36.72477496,137.2336906,4,3
36.73284744,137.1983,4,3
36.74588379,137.2480954,2,3
36.72407501,137.2374516,4,3
36.72348759,137.3023168,2,3
36.74468695,137.1893241,2,3
36.73034572,137.1823728,4,3
36.72455878,137.2036273,4,3
36.7459895,137.2285301,0,3
36.75291812,137.2452618,1,3
36.74562116,137.2392901,4,3
36.73418068,137.2117435,4,3
